addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
충청북도 단양군 단양읍 기촌리,,33,,A01,A0101,A01010800,3009127,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/23/3009123_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/23/3009123_image3_1.JPG,Type3,128.3743396,36.98029204,6,2.02E+13,2,,양백폭포,27024
경상남도 양산시 북정동,,36,0,A02,A0201,A02010700,127192,12,2.00E+13,,,,129.0483428,35.35664457,6,2.02E+13,10,,양산 북정리 고분군,50577
경상남도 양산시 물금읍 백호로 23,,36,0,A02,A0202,A02020700,2784416,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/90/2784490_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/90/2784490_image2_1.JPG,Type3,128.9993369,35.32164759,6,2.02E+13,10,,양산디자인공원,50613
대구광역시 군위군 부계면 남산4길 32,,4,0,A02,A0201,A02010700,1958985,12,2.01E+13,,,,128.6403649,36.04733128,6,2.02E+13,9,,양산서원,39066
경상남도 양산시 물금읍 신주2길 25,,36,0,A02,A0202,A02020700,2784445,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/97/2784497_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/97/2784497_image2_1.JPG,Type3,129.0211096,35.33721847,6,2.02E+13,10,,양산워터파크,50604
경상남도 양산시 양산대로 849,,36,0,A02,A0205,A02050100,1238766,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/16/2487616_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2487616_image2_1.jpg,Type3,129.0322278,35.34474005,6,2.02E+13,10,,양산천 구름다리,50619
경상남도 양산시 동면 강변로 264,,36,0,A02,A0205,A02050600,2784427,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/13/2784513_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/13/2784513_image2_1.JPG,Type3,129.0241624,35.32622809,6,2.02E+13,10,,양산타워,50635
경상남도 양산시 교동1길 10,(교동),36,0,A02,A0201,A02010700,1955437,12,2.01E+13,,,,129.0268394,35.34516491,6,2.02E+13,10,,양산향교,50593
경기도 양평군 양서면 용담리,624-1,31,,A03,A0302,A03020300,3030470,12,2.02E+13,http://tong.visitkorea.or.kr/cms/resource/54/3030454_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/54/3030454_image3_1.JPG,Type3,127.322996,37.54084679,6,2.02E+13,19,,양서문화체육공원,12584
경기도 여주시 능서면 영릉로 308,,31,0,A01,A0101,A01011300,2766859,12,2.02E+13,,,,127.6202952,37.3052184,6,2.02E+13,20,,양섬,12642
경기도 안성시 양성면 구장리,,31,0,A02,A0201,A02010700,128524,12,2.01E+13,http://tong.visitkorea.or.kr/cms/resource/22/2480422_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2480422_image2_1.jpg,Type3,127.2002097,37.05462307,6,2.02E+13,16,,양성 석조여래입상,17502
